iter	RMSE
0	714.4098892
1	703.4154676
2	693.7505611
3	686.6624561
4	676.8854401
5	666.3094824
6	657.7518221
7	649.8197075
8	641.9566882
9	635.1191965
10	626.9803776
11	620.5919289
12	612.7955658
13	605.937452
14	600.1457556
15	594.8041108
16	588.0795783
17	581.7702457
18	576.0876196
19	570.5649798
20	565.3466245
21	561.7227652
22	556.8785572
23	552.1668191
24	547.6419702
25	544.3455533
26	540.4408937
27	536.314695
28	532.3714842
29	528.8970078
30	526.183188
31	522.7728986
32	519.658211
33	516.2185382
34	513.2947028
35	509.7781481
36	507.2866345
37	504.6416287
38	502.9384086
39	500.7674737
40	498.104104
41	495.8241623
42	494.0979299
43	491.9258073
44	490.5012633
45	488.3182819
46	485.8906116
47	484.2642472
48	481.8677941
49	479.7998249
50	478.0177832
51	476.5290074
52	474.8921812
53	473.2127554
54	471.5626103
55	469.5385464
56	467.588426
57	466.8389921
58	465.3509644
59	463.9048601
60	462.7580467
61	461.6085976
62	459.8668372
63	458.5909862
64	456.9857706
65	455.7562301
66	454.5813002
67	454.0516594
68	452.2469474
69	451.5668963
70	450.1692834
71	448.8215858
72	447.3630177
73	446.1083006
74	444.5843059
75	444.357648
76	442.9371459
77	441.4841251
78	440.6049465
79	439.0812793
80	437.9471052
81	437.0221748
82	436.146312
83	434.8406734
84	434.2936871
85	433.5766359
86	432.8939621
87	432.1557962
88	431.5835439
89	430.9324431
90	430.0689527
91	428.8854922
92	428.0214463
93	426.892478
94	426.8286178
95	426.3646271
96	425.8991593
97	424.7622765
98	423.8404505
99	422.8119582
100	422.1632726
101	421.5099413
102	420.7019285
103	420.1715789
104	419.2673899
105	418.08253
106	417.2549465
107	416.1665833
108	415.6024871
109	414.5026404
110	413.7547058
111	413.1806156
112	412.3321424
113	411.8050418
114	411.2895424
115	410.6328427
116	409.492775
117	408.9072501
118	408.3674904
119	407.7248363
120	407.2926583
121	406.633698
122	405.8745275
123	405.2440742
124	405.0465963
125	403.9923206
126	403.3553449
127	402.5645607
128	402.0747332
129	401.3775933
130	400.5870729
131	400.178682
132	399.6335034
133	398.8711261
134	397.664431
135	396.9905146
136	396.4773708
137	396.0214315
138	395.6412345
139	395.2756436
140	394.5271467
141	394.142628
142	393.5694872
143	393.1542441
144	392.9573805
145	392.8731264
146	391.970896
147	391.2846208
148	390.8334416
149	390.5858609
150	390.0881785
151	389.5314311
152	388.8472534
153	388.4196642
154	387.7938046
155	387.4359633
156	386.6536972
157	386.0886068
158	385.4786704
159	385.2194785
160	384.8963303
161	384.6657724
162	384.1250164
163	383.5665186
164	383.2568161
165	383.0191197
166	382.3126015
167	381.76876
168	380.6752445
169	380.1323376
170	379.5283873
171	379.2851039
172	378.7049435
173	378.185553
174	377.8615494
175	377.1883571
176	376.3548776
177	375.4256649
178	374.8955431
179	373.9891688
180	373.3086738
181	372.7085865
182	372.2347589
183	371.7209173
184	371.3804639
185	370.7687093
186	370.3066443
187	369.311922
188	369.0352026
189	368.5742557
190	368.092616
191	367.5174916
192	366.9881421
193	366.4276601
194	365.7758267
195	365.4779331
196	365.0298211
197	364.2934434
198	363.5997771
199	362.8724802
200	362.3349736
201	361.5304828
202	361.303088
203	360.1746342
204	359.7490002
205	359.3123807
206	358.9481817
207	358.6827136
208	358.3894327
209	357.955422
210	357.5404217
211	357.3321958
212	356.6119156
213	356.1820226
214	355.4866522
215	355.0544925
216	354.7522691
217	354.5258718
218	354.131364
219	353.2843313
220	352.7979824
221	352.0921835
222	351.7015689
223	351.0617434
224	350.5543877
225	350.1505859
226	349.7218556
227	348.735157
228	348.0906323
229	347.6294978
230	346.5716142
231	346.1173948
232	345.6829526
233	345.3271972
234	345.0748662
235	344.5155028
236	344.2250166
237	343.6637545
238	343.2808408
239	342.6261532
240	342.1078375
241	341.5097871
242	341.1743882
243	340.9070831
244	340.5592449
245	340.1873171
246	339.8750338
247	339.4562768
248	338.9884105
249	338.6925555
250	338.1845921
251	337.8909792
252	336.9186919
253	336.2864432
254	335.4783985
255	335.0175232
256	334.0974374
257	334.0215885
258	333.4591817
259	333.2915749
260	332.6536101
261	332.0422114
262	331.8586601
263	331.5217998
264	331.0065513
265	330.3875221
266	330.3440311
