iter	Passed	Remaining
0	2	2701
1	4	2397
2	6	2283
3	8	2066
4	10	2115
5	12	2065
6	14	2028
7	16	2013
8	17	1971
9	19	1948
10	21	1928
11	22	1892
12	24	1889
13	27	1919
14	28	1900
15	30	1876
16	32	1873
17	34	1872
18	35	1855
19	37	1837
20	39	1823
21	40	1806
22	42	1794
23	43	1784
24	45	1779
25	47	1770
26	48	1757
27	50	1748
28	52	1745
29	53	1737
30	55	1727
31	56	1722
32	58	1715
33	60	1710
34	61	1703
35	63	1701
36	65	1696
37	66	1694
38	68	1694
39	70	1688
40	71	1682
41	73	1676
42	74	1669
43	76	1663
44	77	1649
45	79	1644
46	80	1639
47	82	1631
48	83	1623
49	85	1619
50	87	1620
51	88	1614
52	90	1612
53	91	1607
54	93	1602
55	94	1596
56	96	1590
57	97	1586
58	99	1582
59	100	1576
60	102	1570
61	103	1564
62	105	1562
63	106	1558
64	108	1554
65	109	1548
66	110	1543
67	112	1538
68	113	1532
69	114	1523
70	116	1519
71	117	1514
72	119	1511
73	120	1510
74	122	1507
75	122	1494
76	124	1491
77	125	1487
78	127	1485
79	128	1481
80	130	1478
81	131	1475
82	133	1480
83	135	1478
84	137	1475
85	138	1474
86	140	1473
87	142	1476
88	145	1485
89	146	1486
90	148	1484
91	150	1487
92	152	1489
93	154	1487
94	155	1477
95	156	1475
96	158	1473
97	159	1471
98	161	1471
99	163	1470
100	165	1472
101	166	1469
102	168	1469
103	170	1468
104	172	1470
105	174	1473
106	177	1477
107	179	1478
108	180	1478
109	182	1477
110	184	1474
111	185	1473
112	187	1473
113	189	1470
114	190	1469
115	192	1468
116	194	1468
117	196	1467
118	197	1465
119	199	1462
120	201	1460
121	202	1459
122	204	1456
123	205	1454
124	207	1452
125	209	1451
126	210	1448
127	212	1447
128	214	1446
129	215	1444
130	217	1442
131	219	1442
132	221	1440
133	222	1438
134	224	1441
135	226	1439
136	228	1437
137	229	1436
138	231	1434
139	234	1437
140	235	1437
141	238	1440
142	239	1438
143	241	1436
144	243	1434
145	244	1429
146	245	1427
147	247	1424
148	249	1423
149	251	1424
150	253	1422
151	255	1423
152	257	1423
153	258	1421
154	260	1419
155	262	1418
156	263	1416
157	265	1413
158	267	1415
159	269	1412
160	270	1411
161	272	1411
162	274	1411
163	276	1409
164	278	1408
165	279	1403
166	281	1404
167	283	1404
168	285	1404
169	287	1402
170	288	1401
171	290	1399
172	292	1397
173	293	1395
174	295	1393
175	297	1392
176	298	1390
177	300	1387
178	302	1387
179	304	1385
180	305	1384
181	307	1383
182	309	1381
183	311	1380
184	313	1379
185	315	1379
186	317	1380
187	319	1379
188	320	1377
189	322	1375
190	324	1374
191	326	1372
192	327	1370
193	329	1370
194	331	1369
195	333	1367
196	335	1366
197	338	1370
198	340	1368
199	342	1368
200	344	1367
201	345	1365
202	347	1363
203	348	1361
204	350	1359
205	352	1359
206	354	1358
207	356	1358
208	358	1358
209	360	1356
210	362	1353
211	363	1352
212	365	1349
213	366	1347
214	368	1345
215	370	1343
216	372	1342
217	373	1340
218	375	1339
219	376	1336
220	378	1333
221	379	1331
222	381	1328
223	382	1325
224	384	1323
225	386	1322
226	387	1319
227	389	1317
228	390	1314
229	391	1311
230	393	1308
231	394	1305
232	395	1302
233	397	1300
234	398	1297
235	399	1294
236	401	1292
237	402	1289
238	404	1287
239	405	1284
240	406	1281
